2024-05-13 23:08:04,683 INFO    Thread-83 :574524 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-13 23:08:04,684 INFO    Thread-83 :574524 [wandb_setup.py:_flush():76] Configure stats pid to 574524
2024-05-13 23:08:04,684 INFO    Thread-83 :574524 [wandb_setup.py:_flush():76] Loading settings from /home/vg2507/.config/wandb/settings
2024-05-13 23:08:04,684 INFO    Thread-83 :574524 [wandb_setup.py:_flush():76] Loading settings from /scratch/vg2507/DL/pytorch-GAT/wandb/settings
2024-05-13 23:08:04,684 INFO    Thread-83 :574524 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'dl-gat-project-run', 'entity': 'team9449', 'root_dir': '/scratch/vg2507/DL/pytorch-GAT', 'run_id': 'h6cz67mi', 'sweep_param_path': '/scratch/vg2507/DL/pytorch-GAT/wandb/sweep-vvivc356/config-h6cz67mi.yaml', 'sweep_id': 'vvivc356'}
2024-05-13 23:08:04,684 INFO    Thread-83 :574524 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-13 23:08:04,684 INFO    Thread-83 :574524 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-05-13 23:08:04,684 INFO    Thread-83 :574524 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-13 23:08:04,684 INFO    Thread-83 :574524 [wandb_init.py:_log_setup():520] Logging user logs to /scratch/vg2507/DL/pytorch-GAT/wandb/run-20240513_230804-h6cz67mi/logs/debug.log
2024-05-13 23:08:04,684 INFO    Thread-83 :574524 [wandb_init.py:_log_setup():521] Logging internal logs to /scratch/vg2507/DL/pytorch-GAT/wandb/run-20240513_230804-h6cz67mi/logs/debug-internal.log
2024-05-13 23:08:04,684 INFO    Thread-83 :574524 [wandb_init.py:_jupyter_setup():466] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x149199ae6cd0>
2024-05-13 23:08:04,685 INFO    Thread-83 :574524 [wandb_init.py:init():560] calling init triggers
2024-05-13 23:08:04,685 INFO    Thread-83 :574524 [wandb_init.py:init():567] wandb.init called with sweep_config: {'epochss': 800, 'lrval': 0.001, 'optimizerval': 'Adam'}
config: {}
2024-05-13 23:08:04,685 INFO    Thread-83 :574524 [wandb_init.py:init():610] starting backend
2024-05-13 23:08:04,685 INFO    Thread-83 :574524 [wandb_init.py:init():614] setting up manager
2024-05-13 23:08:04,692 INFO    Thread-83 :574524 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-13 23:08:04,693 INFO    Thread-83 :574524 [wandb_init.py:init():622] backend started and connected
2024-05-13 23:08:04,700 INFO    Thread-83 :574524 [wandb_run.py:_config_callback():1376] config_cb None None {'epochss': 800, 'lrval': 0.001, 'optimizerval': 'Adam'}
2024-05-13 23:08:04,703 INFO    Thread-83 :574524 [wandb_run.py:_label_probe_notebook():1328] probe notebook
2024-05-13 23:08:04,703 INFO    Thread-83 :574524 [wandb_run.py:_label_probe_notebook():1338] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-05-13 23:08:04,703 INFO    Thread-83 :574524 [wandb_init.py:init():711] updated telemetry
2024-05-13 23:08:04,800 INFO    Thread-83 :574524 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-13 23:08:04,983 INFO    Thread-83 :574524 [wandb_run.py:_on_init():2396] communicating current version
2024-05-13 23:08:05,041 INFO    Thread-83 :574524 [wandb_run.py:_on_init():2405] got version response 
2024-05-13 23:08:05,041 INFO    Thread-83 :574524 [wandb_init.py:init():795] starting run threads in backend
2024-05-13 23:08:09,321 INFO    Thread-83 :574524 [wandb_run.py:_console_start():2374] atexit reg
2024-05-13 23:08:09,321 INFO    Thread-83 :574524 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-13 23:08:09,321 INFO    Thread-83 :574524 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-13 23:08:09,322 INFO    Thread-83 :574524 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-13 23:08:09,326 INFO    Thread-83 :574524 [wandb_init.py:init():838] run started, returning control to user process
2024-05-13 23:08:15,357 INFO    Thread-83 :574524 [wandb_run.py:_finish():2103] finishing run team9449/dl-gat-project-run/h6cz67mi
2024-05-13 23:08:15,358 ERROR   Thread-83 :574524 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2024-05-13 23:08:15,358 INFO    Thread-83 :574524 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-05-13 23:08:15,358 INFO    Thread-83 :574524 [wandb_init.py:_jupyter_teardown():448] cleaning up jupyter logic
2024-05-13 23:08:15,358 INFO    Thread-83 :574524 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-05-13 23:08:15,358 INFO    Thread-83 :574524 [wandb_run.py:_restore():2326] restore
2024-05-13 23:08:15,358 INFO    Thread-83 :574524 [wandb_run.py:_restore():2332] restore done
2024-05-13 23:08:19,746 INFO    Thread-83 :574524 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-05-13 23:08:19,746 INFO    Thread-83 :574524 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-05-13 23:08:19,754 INFO    Thread-83 :574524 [wandb_run.py:_footer_sync_info():3953] logging synced files
