2024-05-13 22:57:35,842 INFO    Thread-12 :578862 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-13 22:57:35,843 INFO    Thread-12 :578862 [wandb_setup.py:_flush():76] Configure stats pid to 578862
2024-05-13 22:57:35,843 INFO    Thread-12 :578862 [wandb_setup.py:_flush():76] Loading settings from /home/vg2507/.config/wandb/settings
2024-05-13 22:57:35,843 INFO    Thread-12 :578862 [wandb_setup.py:_flush():76] Loading settings from /scratch/vg2507/DL/pytorch-GCN/src/wandb/settings
2024-05-13 22:57:35,843 INFO    Thread-12 :578862 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'dl-gcn-project-trial3', 'entity': 'team9449', 'root_dir': '/scratch/vg2507/DL/pytorch-GCN/src', 'run_id': 'o7dw6x3b', 'sweep_param_path': '/scratch/vg2507/DL/pytorch-GCN/src/wandb/sweep-j6w7g1n5/config-o7dw6x3b.yaml', 'sweep_id': 'j6w7g1n5'}
2024-05-13 22:57:35,843 INFO    Thread-12 :578862 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-13 22:57:35,843 INFO    Thread-12 :578862 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-05-13 22:57:35,843 INFO    Thread-12 :578862 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-13 22:57:35,843 INFO    Thread-12 :578862 [wandb_init.py:_log_setup():520] Logging user logs to /scratch/vg2507/DL/pytorch-GCN/src/wandb/run-20240513_225735-o7dw6x3b/logs/debug.log
2024-05-13 22:57:35,843 INFO    Thread-12 :578862 [wandb_init.py:_log_setup():521] Logging internal logs to /scratch/vg2507/DL/pytorch-GCN/src/wandb/run-20240513_225735-o7dw6x3b/logs/debug-internal.log
2024-05-13 22:57:35,843 INFO    Thread-12 :578862 [wandb_init.py:_jupyter_setup():466] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x1483fec55640>
2024-05-13 22:57:35,844 INFO    Thread-12 :578862 [wandb_init.py:init():560] calling init triggers
2024-05-13 22:57:35,844 INFO    Thread-12 :578862 [wandb_init.py:init():567] wandb.init called with sweep_config: {'epochss': 100, 'lrval': 0.001, 'optimizerval': 'Adadelta'}
config: {}
2024-05-13 22:57:35,844 INFO    Thread-12 :578862 [wandb_init.py:init():610] starting backend
2024-05-13 22:57:35,844 INFO    Thread-12 :578862 [wandb_init.py:init():614] setting up manager
2024-05-13 22:57:35,851 INFO    Thread-12 :578862 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-13 22:57:35,851 INFO    Thread-12 :578862 [wandb_init.py:init():622] backend started and connected
2024-05-13 22:57:35,859 INFO    Thread-12 :578862 [wandb_run.py:_config_callback():1376] config_cb None None {'epochss': 100, 'lrval': 0.001, 'optimizerval': 'Adadelta'}
2024-05-13 22:57:35,861 INFO    Thread-12 :578862 [wandb_run.py:_label_probe_notebook():1328] probe notebook
2024-05-13 22:57:35,861 INFO    Thread-12 :578862 [wandb_run.py:_label_probe_notebook():1338] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-05-13 22:57:35,861 INFO    Thread-12 :578862 [wandb_init.py:init():711] updated telemetry
2024-05-13 22:57:35,892 INFO    Thread-12 :578862 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-13 22:57:36,063 INFO    Thread-12 :578862 [wandb_run.py:_on_init():2396] communicating current version
2024-05-13 22:57:36,122 INFO    Thread-12 :578862 [wandb_run.py:_on_init():2405] got version response 
2024-05-13 22:57:36,122 INFO    Thread-12 :578862 [wandb_init.py:init():795] starting run threads in backend
2024-05-13 22:57:40,205 INFO    Thread-12 :578862 [wandb_run.py:_console_start():2374] atexit reg
2024-05-13 22:57:40,205 INFO    Thread-12 :578862 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-13 22:57:40,205 INFO    Thread-12 :578862 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-13 22:57:40,210 INFO    Thread-12 :578862 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-13 22:57:40,210 INFO    Thread-12 :578862 [wandb_init.py:init():838] run started, returning control to user process
2024-05-13 22:57:40,211 INFO    Thread-12 :578862 [wandb_run.py:_finish():2103] finishing run team9449/dl-gcn-project-trial3/o7dw6x3b
2024-05-13 22:57:40,211 ERROR   Thread-12 :578862 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2024-05-13 22:57:40,211 INFO    Thread-12 :578862 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-05-13 22:57:40,211 INFO    Thread-12 :578862 [wandb_init.py:_jupyter_teardown():448] cleaning up jupyter logic
2024-05-13 22:57:40,211 INFO    Thread-12 :578862 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 1
2024-05-13 22:57:40,211 INFO    Thread-12 :578862 [wandb_run.py:_restore():2326] restore
2024-05-13 22:57:40,211 INFO    Thread-12 :578862 [wandb_run.py:_restore():2332] restore done
2024-05-13 22:57:44,830 INFO    Thread-12 :578862 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-05-13 22:57:44,830 INFO    Thread-12 :578862 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-05-13 22:57:44,840 INFO    Thread-12 :578862 [wandb_run.py:_footer_sync_info():3953] logging synced files
