Epoch:    0 | Train loss: 1.950 | Train acc: 0.10 | Val loss: 1.956 | Val acc: 0.11
Epoch:    1 | Train loss: 1.936 | Train acc: 0.14 | Val loss: 1.947 | Val acc: 0.14
Epoch:    2 | Train loss: 1.919 | Train acc: 0.21 | Val loss: 1.941 | Val acc: 0.17
Epoch:    3 | Train loss: 1.914 | Train acc: 0.25 | Val loss: 1.933 | Val acc: 0.19
Epoch:    4 | Train loss: 1.901 | Train acc: 0.32 | Val loss: 1.931 | Val acc: 0.22
Epoch:    5 | Train loss: 1.882 | Train acc: 0.45 | Val loss: 1.921 | Val acc: 0.27
Epoch:    6 | Train loss: 1.873 | Train acc: 0.49 | Val loss: 1.915 | Val acc: 0.34
Epoch:    7 | Train loss: 1.859 | Train acc: 0.49 | Val loss: 1.903 | Val acc: 0.35
Epoch:    8 | Train loss: 1.852 | Train acc: 0.60 | Val loss: 1.901 | Val acc: 0.37
Epoch:    9 | Train loss: 1.834 | Train acc: 0.54 | Val loss: 1.893 | Val acc: 0.40
Epoch:   10 | Train loss: 1.817 | Train acc: 0.65 | Val loss: 1.882 | Val acc: 0.43
Epoch:   11 | Train loss: 1.809 | Train acc: 0.71 | Val loss: 1.879 | Val acc: 0.46
Epoch:   12 | Train loss: 1.791 | Train acc: 0.74 | Val loss: 1.870 | Val acc: 0.50
Epoch:   13 | Train loss: 1.786 | Train acc: 0.70 | Val loss: 1.861 | Val acc: 0.47
Epoch:   14 | Train loss: 1.779 | Train acc: 0.71 | Val loss: 1.853 | Val acc: 0.52
Epoch:   15 | Train loss: 1.758 | Train acc: 0.73 | Val loss: 1.839 | Val acc: 0.53
Epoch:   16 | Train loss: 1.730 | Train acc: 0.78 | Val loss: 1.830 | Val acc: 0.55
Epoch:   17 | Train loss: 1.724 | Train acc: 0.75 | Val loss: 1.825 | Val acc: 0.54
Epoch:   18 | Train loss: 1.699 | Train acc: 0.84 | Val loss: 1.818 | Val acc: 0.55
Epoch:   19 | Train loss: 1.681 | Train acc: 0.78 | Val loss: 1.802 | Val acc: 0.54
Epoch:   20 | Train loss: 1.675 | Train acc: 0.80 | Val loss: 1.796 | Val acc: 0.56
Epoch:   21 | Train loss: 1.635 | Train acc: 0.86 | Val loss: 1.758 | Val acc: 0.63
Epoch:   22 | Train loss: 1.621 | Train acc: 0.83 | Val loss: 1.767 | Val acc: 0.59
