Epoch:    0 | Train loss: 1.952 | Train acc: 0.09 | Val loss: 1.957 | Val acc: 0.10
Epoch:    1 | Train loss: 1.856 | Train acc: 0.46 | Val loss: 1.906 | Val acc: 0.27
Epoch:    2 | Train loss: 1.742 | Train acc: 0.54 | Val loss: 1.844 | Val acc: 0.37
Epoch:    3 | Train loss: 1.608 | Train acc: 0.62 | Val loss: 1.776 | Val acc: 0.41
Epoch:    4 | Train loss: 1.467 | Train acc: 0.69 | Val loss: 1.692 | Val acc: 0.46
Epoch:    5 | Train loss: 1.340 | Train acc: 0.70 | Val loss: 1.648 | Val acc: 0.45
Epoch:    6 | Train loss: 1.239 | Train acc: 0.73 | Val loss: 1.559 | Val acc: 0.52
Epoch:    7 | Train loss: 1.063 | Train acc: 0.82 | Val loss: 1.492 | Val acc: 0.58
Epoch:    8 | Train loss: 0.988 | Train acc: 0.86 | Val loss: 1.413 | Val acc: 0.61
Epoch:    9 | Train loss: 0.867 | Train acc: 0.88 | Val loss: 1.316 | Val acc: 0.64
Epoch:   10 | Train loss: 0.791 | Train acc: 0.92 | Val loss: 1.254 | Val acc: 0.68
Epoch:   11 | Train loss: 0.738 | Train acc: 0.92 | Val loss: 1.182 | Val acc: 0.68
Epoch:   12 | Train loss: 0.697 | Train acc: 0.89 | Val loss: 1.126 | Val acc: 0.74
Epoch:   13 | Train loss: 0.561 | Train acc: 0.93 | Val loss: 1.074 | Val acc: 0.70
Epoch:   14 | Train loss: 0.562 | Train acc: 0.91 | Val loss: 1.070 | Val acc: 0.71
Epoch:   15 | Train loss: 0.444 | Train acc: 0.94 | Val loss: 0.985 | Val acc: 0.70
Epoch:   16 | Train loss: 0.423 | Train acc: 0.93 | Val loss: 0.948 | Val acc: 0.73
Epoch:   17 | Train loss: 0.400 | Train acc: 0.96 | Val loss: 0.964 | Val acc: 0.70
Epoch:   18 | Train loss: 0.379 | Train acc: 0.94 | Val loss: 0.895 | Val acc: 0.74
Epoch:   19 | Train loss: 0.313 | Train acc: 0.96 | Val loss: 0.870 | Val acc: 0.76
Epoch:   20 | Train loss: 0.265 | Train acc: 0.96 | Val loss: 0.830 | Val acc: 0.76
Epoch:   21 | Train loss: 0.268 | Train acc: 0.94 | Val loss: 0.865 | Val acc: 0.74
Epoch:   22 | Train loss: 0.246 | Train acc: 0.95 | Val loss: 0.826 | Val acc: 0.77
Epoch:   23 | Train loss: 0.223 | Train acc: 0.97 | Val loss: 0.848 | Val acc: 0.76
Epoch:   24 | Train loss: 0.219 | Train acc: 0.94 | Val loss: 0.845 | Val acc: 0.75
Epoch:   25 | Train loss: 0.160 | Train acc: 0.99 | Val loss: 0.860 | Val acc: 0.74
Epoch:   26 | Train loss: 0.170 | Train acc: 0.97 | Val loss: 0.834 | Val acc: 0.71
Epoch:   27 | Train loss: 0.154 | Train acc: 0.96 | Val loss: 0.866 | Val acc: 0.76
Epoch:   28 | Train loss: 0.136 | Train acc: 0.98 | Val loss: 0.915 | Val acc: 0.72
Epoch:   29 | Train loss: 0.143 | Train acc: 0.98 | Val loss: 0.878 | Val acc: 0.74
Epoch:   30 | Train loss: 0.120 | Train acc: 0.99 | Val loss: 0.901 | Val acc: 0.74
Epoch:   31 | Train loss: 0.118 | Train acc: 0.98 | Val loss: 0.793 | Val acc: 0.76
Epoch:   32 | Train loss: 0.102 | Train acc: 0.99 | Val loss: 0.798 | Val acc: 0.79
Epoch:   33 | Train loss: 0.116 | Train acc: 0.97 | Val loss: 0.857 | Val acc: 0.76
Epoch:   34 | Train loss: 0.106 | Train acc: 0.99 | Val loss: 0.930 | Val acc: 0.75
Epoch:   35 | Train loss: 0.120 | Train acc: 0.98 | Val loss: 0.896 | Val acc: 0.77
Epoch:   36 | Train loss: 0.101 | Train acc: 0.98 | Val loss: 0.906 | Val acc: 0.74
Epoch:   37 | Train loss: 0.087 | Train acc: 0.99 | Val loss: 0.861 | Val acc: 0.78
Epoch:   38 | Train loss: 0.086 | Train acc: 0.98 | Val loss: 0.946 | Val acc: 0.77
Epoch:   39 | Train loss: 0.091 | Train acc: 0.99 | Val loss: 0.996 | Val acc: 0.71
Epoch:   40 | Train loss: 0.101 | Train acc: 0.97 | Val loss: 0.813 | Val acc: 0.79
Epoch:   41 | Train loss: 0.064 | Train acc: 0.99 | Val loss: 0.886 | Val acc: 0.76
EARLY STOPPING condition met. Stopped at epoch: 41.
Total training time: 0.49 seconds
Test loss: 0.731  |  Test acc: 0.77
