Epoch:    0 | Train loss: 1.941 | Train acc: 0.14 | Val loss: 1.949 | Val acc: 0.14
Epoch:    1 | Train loss: 1.924 | Train acc: 0.19 | Val loss: 1.939 | Val acc: 0.16
Epoch:    2 | Train loss: 1.911 | Train acc: 0.20 | Val loss: 1.935 | Val acc: 0.16
Epoch:    3 | Train loss: 1.889 | Train acc: 0.29 | Val loss: 1.927 | Val acc: 0.19
Epoch:    4 | Train loss: 1.868 | Train acc: 0.31 | Val loss: 1.915 | Val acc: 0.20
Epoch:    5 | Train loss: 1.840 | Train acc: 0.40 | Val loss: 1.904 | Val acc: 0.22
Epoch:    6 | Train loss: 1.822 | Train acc: 0.42 | Val loss: 1.896 | Val acc: 0.21
Epoch:    7 | Train loss: 1.792 | Train acc: 0.46 | Val loss: 1.877 | Val acc: 0.25
Epoch:    8 | Train loss: 1.752 | Train acc: 0.44 | Val loss: 1.855 | Val acc: 0.27
Epoch:    9 | Train loss: 1.729 | Train acc: 0.49 | Val loss: 1.839 | Val acc: 0.28
Epoch:   10 | Train loss: 1.701 | Train acc: 0.49 | Val loss: 1.821 | Val acc: 0.32
Epoch:   11 | Train loss: 1.661 | Train acc: 0.59 | Val loss: 1.793 | Val acc: 0.36
Epoch:   12 | Train loss: 1.621 | Train acc: 0.66 | Val loss: 1.769 | Val acc: 0.39
Epoch:   13 | Train loss: 1.592 | Train acc: 0.61 | Val loss: 1.743 | Val acc: 0.42
Epoch:   14 | Train loss: 1.562 | Train acc: 0.64 | Val loss: 1.715 | Val acc: 0.43
Epoch:   15 | Train loss: 1.516 | Train acc: 0.72 | Val loss: 1.682 | Val acc: 0.50
Epoch:   16 | Train loss: 1.495 | Train acc: 0.75 | Val loss: 1.663 | Val acc: 0.52
Epoch:   17 | Train loss: 1.462 | Train acc: 0.79 | Val loss: 1.645 | Val acc: 0.57
Epoch:   18 | Train loss: 1.409 | Train acc: 0.81 | Val loss: 1.615 | Val acc: 0.63
Epoch:   19 | Train loss: 1.404 | Train acc: 0.77 | Val loss: 1.600 | Val acc: 0.58
Epoch:   20 | Train loss: 1.335 | Train acc: 0.79 | Val loss: 1.580 | Val acc: 0.60
Epoch:   21 | Train loss: 1.340 | Train acc: 0.81 | Val loss: 1.546 | Val acc: 0.60
Epoch:   22 | Train loss: 1.262 | Train acc: 0.81 | Val loss: 1.504 | Val acc: 0.67
Epoch:   23 | Train loss: 1.212 | Train acc: 0.86 | Val loss: 1.484 | Val acc: 0.65
Epoch:   24 | Train loss: 1.198 | Train acc: 0.81 | Val loss: 1.501 | Val acc: 0.66
Epoch:   25 | Train loss: 1.164 | Train acc: 0.86 | Val loss: 1.446 | Val acc: 0.67
Epoch:   26 | Train loss: 1.151 | Train acc: 0.86 | Val loss: 1.425 | Val acc: 0.68
Epoch:   27 | Train loss: 1.066 | Train acc: 0.85 | Val loss: 1.384 | Val acc: 0.68
Epoch:   28 | Train loss: 1.040 | Train acc: 0.86 | Val loss: 1.356 | Val acc: 0.73
Epoch:   29 | Train loss: 1.031 | Train acc: 0.86 | Val loss: 1.387 | Val acc: 0.70
Epoch:   30 | Train loss: 1.022 | Train acc: 0.86 | Val loss: 1.331 | Val acc: 0.74
Epoch:   31 | Train loss: 0.987 | Train acc: 0.89 | Val loss: 1.341 | Val acc: 0.66
Epoch:   32 | Train loss: 0.956 | Train acc: 0.89 | Val loss: 1.270 | Val acc: 0.73
Epoch:   33 | Train loss: 0.934 | Train acc: 0.86 | Val loss: 1.242 | Val acc: 0.73
Epoch:   34 | Train loss: 0.945 | Train acc: 0.91 | Val loss: 1.260 | Val acc: 0.73
Epoch:   35 | Train loss: 0.927 | Train acc: 0.89 | Val loss: 1.229 | Val acc: 0.73
Epoch:   36 | Train loss: 0.857 | Train acc: 0.90 | Val loss: 1.173 | Val acc: 0.76
Epoch:   37 | Train loss: 0.853 | Train acc: 0.91 | Val loss: 1.196 | Val acc: 0.75
Epoch:   38 | Train loss: 0.827 | Train acc: 0.91 | Val loss: 1.200 | Val acc: 0.72
Epoch:   39 | Train loss: 0.764 | Train acc: 0.91 | Val loss: 1.148 | Val acc: 0.73
Epoch:   40 | Train loss: 0.758 | Train acc: 0.89 | Val loss: 1.114 | Val acc: 0.73
Epoch:   41 | Train loss: 0.773 | Train acc: 0.91 | Val loss: 1.146 | Val acc: 0.74
Epoch:   42 | Train loss: 0.744 | Train acc: 0.89 | Val loss: 1.123 | Val acc: 0.72
Epoch:   43 | Train loss: 0.691 | Train acc: 0.94 | Val loss: 1.102 | Val acc: 0.73
Epoch:   44 | Train loss: 0.668 | Train acc: 0.91 | Val loss: 1.051 | Val acc: 0.74
Epoch:   45 | Train loss: 0.664 | Train acc: 0.90 | Val loss: 1.036 | Val acc: 0.73
Epoch:   46 | Train loss: 0.642 | Train acc: 0.89 | Val loss: 1.027 | Val acc: 0.75
Epoch:   47 | Train loss: 0.668 | Train acc: 0.88 | Val loss: 1.057 | Val acc: 0.73
Epoch:   48 | Train loss: 0.655 | Train acc: 0.89 | Val loss: 1.098 | Val acc: 0.71
Epoch:   49 | Train loss: 0.544 | Train acc: 0.92 | Val loss: 0.981 | Val acc: 0.76
Epoch:   50 | Train loss: 0.594 | Train acc: 0.91 | Val loss: 1.008 | Val acc: 0.73
Epoch:   51 | Train loss: 0.607 | Train acc: 0.91 | Val loss: 0.977 | Val acc: 0.75
Epoch:   52 | Train loss: 0.525 | Train acc: 0.92 | Val loss: 1.015 | Val acc: 0.74
Epoch:   53 | Train loss: 0.555 | Train acc: 0.91 | Val loss: 1.017 | Val acc: 0.74
Epoch:   54 | Train loss: 0.568 | Train acc: 0.89 | Val loss: 0.976 | Val acc: 0.75
Epoch:   55 | Train loss: 0.547 | Train acc: 0.91 | Val loss: 1.059 | Val acc: 0.67
Epoch:   56 | Train loss: 0.567 | Train acc: 0.92 | Val loss: 0.972 | Val acc: 0.72
Epoch:   57 | Train loss: 0.523 | Train acc: 0.93 | Val loss: 0.896 | Val acc: 0.75
