Epoch:    0 | Train loss: 1.939 | Train acc: 0.20 | Val loss: 1.956 | Val acc: 0.13
Epoch:    1 | Train loss: 1.942 | Train acc: 0.16 | Val loss: 1.957 | Val acc: 0.12
Epoch:    2 | Train loss: 1.936 | Train acc: 0.19 | Val loss: 1.953 | Val acc: 0.12
Epoch:    3 | Train loss: 1.937 | Train acc: 0.17 | Val loss: 1.955 | Val acc: 0.11
Epoch:    4 | Train loss: 1.935 | Train acc: 0.18 | Val loss: 1.956 | Val acc: 0.12
Epoch:    5 | Train loss: 1.932 | Train acc: 0.19 | Val loss: 1.954 | Val acc: 0.14
Epoch:    6 | Train loss: 1.935 | Train acc: 0.22 | Val loss: 1.954 | Val acc: 0.12
Epoch:    7 | Train loss: 1.936 | Train acc: 0.12 | Val loss: 1.950 | Val acc: 0.14
Epoch:    8 | Train loss: 1.932 | Train acc: 0.16 | Val loss: 1.950 | Val acc: 0.12
Epoch:    9 | Train loss: 1.930 | Train acc: 0.23 | Val loss: 1.952 | Val acc: 0.13
Epoch:   10 | Train loss: 1.924 | Train acc: 0.22 | Val loss: 1.947 | Val acc: 0.15
Epoch:   11 | Train loss: 1.923 | Train acc: 0.21 | Val loss: 1.952 | Val acc: 0.14
Epoch:   12 | Train loss: 1.921 | Train acc: 0.19 | Val loss: 1.949 | Val acc: 0.13
Epoch:   13 | Train loss: 1.922 | Train acc: 0.19 | Val loss: 1.945 | Val acc: 0.15
Epoch:   14 | Train loss: 1.919 | Train acc: 0.23 | Val loss: 1.948 | Val acc: 0.16
Epoch:   15 | Train loss: 1.920 | Train acc: 0.21 | Val loss: 1.947 | Val acc: 0.17
Epoch:   16 | Train loss: 1.910 | Train acc: 0.25 | Val loss: 1.944 | Val acc: 0.14
Epoch:   17 | Train loss: 1.911 | Train acc: 0.27 | Val loss: 1.941 | Val acc: 0.17
Epoch:   18 | Train loss: 1.911 | Train acc: 0.25 | Val loss: 1.946 | Val acc: 0.15
Epoch:   19 | Train loss: 1.906 | Train acc: 0.27 | Val loss: 1.943 | Val acc: 0.16
Epoch:   20 | Train loss: 1.904 | Train acc: 0.27 | Val loss: 1.944 | Val acc: 0.14
Epoch:   21 | Train loss: 1.908 | Train acc: 0.24 | Val loss: 1.943 | Val acc: 0.19
Epoch:   22 | Train loss: 1.898 | Train acc: 0.30 | Val loss: 1.941 | Val acc: 0.18
Epoch:   23 | Train loss: 1.897 | Train acc: 0.31 | Val loss: 1.936 | Val acc: 0.18
Epoch:   24 | Train loss: 1.902 | Train acc: 0.31 | Val loss: 1.939 | Val acc: 0.19
Epoch:   25 | Train loss: 1.906 | Train acc: 0.27 | Val loss: 1.938 | Val acc: 0.17
Epoch:   26 | Train loss: 1.899 | Train acc: 0.29 | Val loss: 1.934 | Val acc: 0.19
Epoch:   27 | Train loss: 1.887 | Train acc: 0.34 | Val loss: 1.935 | Val acc: 0.20
Epoch:   28 | Train loss: 1.883 | Train acc: 0.32 | Val loss: 1.933 | Val acc: 0.21
